arch_id,test_accuracy,test_precision,test_recall,test_f1_score,epoch_time_sec,num_params,num_flops,architecture,train_loss_epoch_1,train_acc_epoch_1,train_loss_epoch_2,train_acc_epoch_2,train_loss_epoch_3,train_acc_epoch_3,train_loss_epoch_4,train_acc_epoch_4,train_loss_epoch_5,train_acc_epoch_5
575,0.5217,0.522682462,0.5217,0.519674211,112.4163706,181616,6797680,"Conv2d(k=1,p=1) -> Conv2d(k=1,p=1) -> KAN(order=4,grid=8,act=SiLU)",1.851089094,34.618,1.552652866,45.558,1.453080963,48.974,1.398616692,50.94,1.3622082,52.494
576,0.5294,0.534708205,0.5294,0.526720252,117.3278697,207536,7782640,"Conv2d(k=1,p=1) -> Conv2d(k=1,p=1) -> KAN(order=4,grid=10,act=ReLU)",1.759269979,37.794,1.466870588,48.22,1.398130968,50.804,1.352995308,52.504,1.320692076,53.694
577,0.5344,0.539007628,0.5344,0.533607128,116.6500752,207536,7782640,"Conv2d(k=1,p=1) -> Conv2d(k=1,p=1) -> KAN(order=4,grid=10,act=GELU)",1.797130912,36.594,1.454113396,49.068,1.356815121,52.508,1.304277855,54.298,1.272937532,55.216
578,0.5216,0.524900753,0.5216,0.516998078,117.6274741,207536,7782640,"Conv2d(k=1,p=1) -> Conv2d(k=1,p=1) -> KAN(order=4,grid=10,act=SiLU)",1.748724768,38.2,1.481583072,47.996,1.411066091,50.332,1.367915755,52.192,1.335731346,53.328
579,0.5192,0.520114757,0.5192,0.517518757,127.3050284,272336,10245040,"Conv2d(k=1,p=1) -> Conv2d(k=1,p=1) -> KAN(order=4,grid=15,act=ReLU)",1.818333421,35.938,1.505944606,47.002,1.416949652,50.274,1.371575892,51.746,1.340173864,53.01
580,0.5249,0.53403823,0.5249,0.520147058,128.5555351,272336,10245040,"Conv2d(k=1,p=1) -> Conv2d(k=1,p=1) -> KAN(order=4,grid=15,act=GELU)",1.715316962,38.988,1.452454394,48.804,1.383431925,51.676,1.336469367,53.558,1.297228513,54.698
581,0.5393,0.543194304,0.5393,0.537926877,128.1351943,272336,10245040,"Conv2d(k=1,p=1) -> Conv2d(k=1,p=1) -> KAN(order=4,grid=15,act=SiLU)",1.709780177,39.798,1.416895219,50.338,1.340442738,53.19,1.291118982,55.116,1.253630817,56.288
582,0.5392,0.554814224,0.5392,0.536696613,137.9906852,337136,12707440,"Conv2d(k=1,p=1) -> Conv2d(k=1,p=1) -> KAN(order=4,grid=20,act=ReLU)",1.727330083,38.474,1.415271097,50.156,1.344050043,52.692,1.301944959,54.408,1.27101721,55.694
583,0.5203,0.529949924,0.5203,0.518884248,137.0750089,337136,12707440,"Conv2d(k=1,p=1) -> Conv2d(k=1,p=1) -> KAN(order=4,grid=20,act=GELU)",1.764332303,37.718,1.469997561,48.534,1.389943926,51.498,1.341541814,53.328,1.310100554,54.48
584,0.5365,0.539812308,0.5365,0.533929127,137.4834874,337136,12707440,"Conv2d(k=1,p=1) -> Conv2d(k=1,p=1) -> KAN(order=4,grid=20,act=SiLU)",1.705172152,39.68,1.407088453,50.688,1.32731626,53.636,1.273829134,55.506,1.233263432,57.006
